n=20000
m=40000
from,to,cost
477,1356,4
1356,13297,1
13297,18751,1
18751,6929,1
6929,18705,1
18705,7039,1
7039,7613,1
7613,8338,4
8338,17371,1
17371,16315,4
16315,1166,1
1166,35,5
35,4105,1
4105,1007,4
1007,14909,3
14909,12564,1
12564,16779,3
16779,4121,5
4121,11032,1
11032,2352,5
2352,3877,5
3877,11484,1
11484,15934,1
15934,3335,1
3335,5671,5
5671,13252,4
13252,3819,2
3819,11283,1
11283,16660,4
16660,17355,5
17355,15290,4
15290,5356,1
5356,11459,4
11459,971,2
971,5723,5
5723,10009,2
10009,2998,4
2998,3622,3
3622,16341,3
16341,9032,4
9032,14125,2
14125,2337,2
2337,4325,1
4325,10747,3
10747,602,4
602,15713,3
15713,15636,1
15636,18984,1
18984,16174,1
16174,4207,1
4207,7012,1
7012,19727,2
19727,18883,4
18883,10109,1
10109,16016,5
16016,16931,3
16931,2902,1
2902,4443,1
4443,13641,1
13641,11407,1
11407,3726,4
3726,17020,1
17020,15716,1
15716,7667,1
7667,3957,1
3957,1146,1
1146,7812,1
7812,19506,3
19506,12642,3
12642,1005,1
1005,2151,4
2151,2143,1
2143,17578,4
17578,15700,2
15700,2742,2
2742,8716,4
8716,5876,2
5876,2875,2
2875,17925,2
17925,17236,1
17236,3872,1
3872,19304,4
19304,13042,1
13042,14036,5
14036,12914,1
12914,1022,3
1022,6867,1
6867,980,3
980,6904,3
6904,7161,2
7161,4310,1
4310,18863,5
18863,4609,3
4609,19464,3
19464,6960,4
6960,19910,3
19910,3476,3
3476,10287,3
10287,15529,1
15529,2411,1
2411,9982,1
9982,8570,3
8570,14765,1
14765,7419,1
7419,4865,1
4865,10628,5
10628,3683,5
3683,7176,2
7176,3633,5
3633,8227,3
8227,14351,5
14351,11218,5
11218,19233,1
19233,5681,4
5681,3987,3
3987,3282,3
3282,8106,3
8106,15359,2
15359,12831,1
12831,4848,3
4848,19742,3
19742,13380,1
13380,5042,4
5042,10285,5
10285,10167,1
10167,1014,1
1014,11892,5
11892,7581,1
7581,18239,1
18239,12730,2
12730,8921,5
8921,18445,5
18445,4874,2
4874,10065,4
10065,19811,1
19811,17241,3
17241,3065,4
3065,194,5
194,17891,5
17891,15243,1
15243,18855,1
18855,10389,3
10389,18259,5
18259,4610,5
4610,16963,4
16963,5717,2
5717,66,3
66,14687,2
14687,7076,4
7076,13327,1
13327,11881,1
11881,9018,5
9018,12318,5
12318,9380,3
9380,4715,4
4715,5819,1
5819,1881,1
1881,1091,3
1091,5483,5
5483,10954,4
10954,13288,2
13288,14058,2
14058,12684,5
12684,19606,1
19606,9120,1
9120,12788,2
12788,4423,3
4423,15361,3
15361,947,2
947,15590,4
15590,7305,4
7305,7007,4
7007,12163,3
12163,19850,3
19850,6825,2
6825,8072,3
8072,7151,1
7151,16728,4
16728,14559,2
14559,12131,5
12131,16552,1
16552,15580,1
15580,510,1
510,18871,1
18871,973,1
973,865,1
865,17905,3
17905,1817,3
1817,2658,4
2658,19463,4
19463,4231,4
4231,13164,3
13164,12062,3
12062,2786,4
2786,14816,1
14816,1690,1
1690,1597,4
1597,3516,4
3516,13146,4
13146,7220,2
7220,6679,1
6679,4579,2
4579,4566,2
4566,17647,1
17647,19091,1
19091,1289,3
1289,2777,1
2777,7682,4
7682,12350,2
12350,3165,5
3165,2374,1
2374,18825,2
18825,1385,1
1385,15492,2
15492,507,1
507,15174,2
15174,13578,3
13578,14422,2
14422,12479,1
12479,4123,4
4123,3672,1
3672,3109,3
3109,5855,2
5855,14457,4
14457,622,4
622,4366,5
4366,1472,4
1472,13857,1
13857,18049,3
18049,802,1
802,1292,3
1292,5095,1
5095,3813,1
3813,17702,2
17702,3553,1
3553,18559,2
18559,15638,3
15638,8068,1
8068,4611,5
4611,2283,1
2283,14650,5
14650,11424,4
11424,3084,3
3084,4253,3
4253,17783,1
17783,3775,2
3775,3124,3
3124,10022,1
10022,13382,5
13382,11395,5
11395,19501,2
19501,19325,3
19325,785,2
785,19369,1
19369,787,3
787,7735,1
7735,15927,1
15927,1619,1
1619,2711,1
2711,1234,1
1234,1285,3
1285,6033,4
6033,18870,2
18870,7838,2
7838,8953,4
8953,13609,4
13609,19522,4
19522,11530,1
11530,658,3
658,13635,3
13635,8388,1
8388,7391,3
7391,16265,5
16265,2233,2
2233,8692,1
8692,10895,1
10895,14344,2
14344,7302,2
7302,8536,1
8536,14865,4
14865,1419,1
1419,382,3
382,13537,1
13537,9766,4
9766,17391,1
17391,3322,1
3322,16121,2
16121,12064,1
12064,10827,2
10827,397,2
397,12715,1
12715,1987,3
1987,10139,4
10139,5470,2
5470,5847,1
5847,8633,1
8633,4850,1
4850,19455,1
19455,17982,5
17982,7449,5
7449,10425,4
10425,15561,1
15561,5927,3
5927,6279,5
6279,10075,4
10075,7766,4
7766,11879,3
11879,5863,5
5863,9411,2
9411,4547,3
4547,14372,2
14372,3024,1
3024,17457,5
17457,16346,1
16346,19167,4
19167,3274,4
3274,120,2
120,16412,4
16412,19125,1
19125,12464,5
12464,11191,3
11191,746,2
746,16843,3
16843,1087,3
1087,4565,1
4565,16932,1
16932,7055,4
7055,12596,4
12596,14852,3
14852,8544,1
8544,6390,1
6390,19034,3
19034,1959,1
1959,16584,1
16584,13168,5
13168,1745,1
1745,228,1
228,4269,3
4269,19069,5
19069,12255,1
12255,4250,1
4250,614,4
614,7264,3
7264,18300,2
18300,13936,1
13936,10086,2
10086,273,3
273,19493,4
19493,16917,1
16917,185,1
185,18597,1
18597,8947,2
8947,4385,1
4385,798,2
798,8289,1
8289,14101,3
14101,5202,4
5202,10448,5
10448,9391,5
9391,9023,5
9023,11397,3
11397,11970,2
11970,6926,5
6926,5359,4
5359,11276,4
11276,7615,3
7615,9304,2
9304,2578,1
2578,13895,1
13895,3300,2
3300,3707,2
3707,18387,1
18387,15868,2
15868,16675,3
16675,17495,1
17495,1746,2
1746,12602,1
12602,8862,4
8862,2427,1
2427,16682,5
16682,13811,2
13811,14918,4
14918,292,1
292,8291,4
8291,19735,1
19735,18988,2
18988,16410,1
16410,2813,3
2813,7606,5
7606,3765,1
3765,17302,4
17302,5211,1
5211,7751,1
7751,11512,1
11512,10662,4
10662,17195,3
17195,12,4
12,17408,1
17408,13452,4
13452,19714,2
19714,11993,1
11993,16151,1
16151,7353,5
7353,19339,4
19339,11627,5
11627,7918,1
7918,18351,1
18351,13547,4
13547,14949,1
14949,15964,1
15964,8563,1
8563,18456,2
18456,3428,5
3428,11380,1
11380,1093,1
1093,1243,4
1243,17674,4
17674,16824,3
16824,15646,3
15646,15020,4
15020,2162,2
